1764296	617321	485466	42957
2429360	580883	422382	29332
1497984	724610	539205	62993
1059696	296733	257772	21460
1463168	293598	187951	12437
1955920	405235	145504	26103
1093872	211255	86546	8295
3792660	777465	556683	74275
3470104	1279944	435801	45094
1713888	809937	290662	22793
2597760	1302664	366033	40274
1805024	1161490	231639	32223
2433264	808786	275663	31114
1217424	424057	128083	13648
1783584	641923	251918	26731
1309920	543796	147136	16812
9935616	3280395	1391594	116208
3350752	1127470	454192	37969
3031660	1565321	324928	43662
2222640	837064	298393	26652
2564612	2540185	226649	31900
1152624	559922	126252	15624
1119856	539487	247555	14820
1079696	294907	246912	11877
2332016	902467	693202	55397
1669808	672034	420935	24617
2368272	1009188	348356	32246
8812704	3890737	1177530	201230
3002656	1274016	1436734	78237
1108192	419676	366499	19850
3356352	1034551	1381828	62174
3161424	869094	416004	35283
3161968	868337	396073	35411
3176464	870956	419851	36535
3144688	869778	443966	35456
3131680	865644	406438	33250
1832624	478825	223540	24095
2189776	563678	313677	25588
2957344	909890	469474	57010
2729216	774285	431798	31245
3199152	926108	562872	40550
2975296	883892	393786	33779
6679808	1544827	881305	82069
4387264	1131442	493198	44638
1272320	305037	179625	14514
1596608	602513	250535	22612
2486080	963508	430977	67375
6754688	1878514	1392311	106950
1820416	804278	443903	26089
10397008	4184754	2057957	199684
1843856	852238	707618	69964
9015728	3351149	1286222	115162
1492976	384002	233186	24598
6945696	1882544	1358275	87652
1755200	658841	374236	37365
6309168	3229547	1156206	130026
2259136	719856	362980	28892
47133008	17893279	10454098	897317
1223360	414692	195031	33245
1560864	616961	352641	24955
1630944	557449	272910	21163
1166992	467300	242503	16259
1813936	849945	459365	35149
1190208	369696	197959	15522
1755216	687560	239438	24286
15370688	5641566	2823439	257862
2186976	647573	288149	39838
4997408	1260008	883308	71391
1592992	628729	246769	20970
1148416	448137	145748	17366
10419600	3033828	1601940	142765
2647392	532065	293299	26887
12498752	4370733	2175963	187972
2074032	575255	299385	39539
4299696	780244	634702	46729
15398752	5635799	2930362	266276
2046944	604145	385496	29173
5092080	937548	590410	59328
9375408	2984134	1594258	136867
1195440	404776	210344	29681
2111664	812983	325682	53395
28142864	10385545	6350281	461477
2442992	701741	326416	31068
6215808	1583220	1512972	150693
1278768	321879	122816	13242
1278192	525826	294651	20216
2005712	389752	192863	18217
2294560	523105	316166	23534
1503392	463391	289759	16375
1619392	681136	330596	30743
1230864	564452	284773	24365
1070608	778298	233822	23294
1443808	520474	368736	19752
4329408	1732746	889837	85753
1094768	459476	188114	22544
1055520	452700	161895	17721
1186240	511751	217137	19189
1869856	527639	343618	31415
1863296	976020	453443	40462
4408912	2112491	1352481	79197
1261168	403351	220149	14969
1050496	347373	182439	12269
3047360	1100486	567687	58278
5970752	2267674	1268247	98226
5107312	1859196	904235	98656
12712768	4236309	2347803	190565
1254480	602111	248127	23541
2391520	784049	444423	75142
13124432	6530486	2301005	251172
4409120	1977028	856529	85225
1328816	492718	224445	102479
6086304	2532013	1195915	116197
3679312	1147498	600653	58649
2922128	1576155	580732	52014
5234432	1713887	1005551	72353
1899008	1443331	268831	37425
1060336	392113	205966	23614
2974832	1020454	535353	49982
8316864	3205187	1672904	134243
2030848	727964	473068	31094
6752736	2282325	1467068	107043
1446784	500617	245694	17848
1151040	413015	214967	14749
2295280	797043	482348	33292
1296144	481513	214917	16815
1824912	657279	396424	52806
1545024	520305	304146	23658
16264732	7043314	2843463	297372
2450160	976226	449819	42221
2650112	1068530	507390	70034
2986096	754582	493595	40381
2481840	1170933	517070	49160
1189632	627305	356667	24852
2023643	1562774	352248	33901
1808832	690892	374033	30511
1362544	456341	341774	23043
1582128	523261	302311	28608
2928428	914375	186296	32360
28996640	8751082	4536666	495042
2846256	1083627	520101	70816
6077360	2560123	1237119	116715
1925840	699587	356457	29124
1380976	457405	228131	18611
2137952	715041	460799	30485
7114560	6146936	1109731	66663
1298032	418940	213180	14554
3623600	1389488	776457	126404
1082576	401657	336238	23603
1359696	496170	259101	24456
1124672	404488	196504	18236
4386144	1532479	832792	107496
2621984	884048	492410	43295
1086112	376828	202081	40489
1263584	392266	199933	18273
1725232	599278	318653	30172
1328244	720828	231844	30802
1723696	610332	328191	30846
6033040	1985119	1081483	107803
6950816	3032515	1607566	147578
1081520	403862	200720	15150
5138432	1985357	1005513	85516
1190909	364888	152028	27398
1090240	349077	241537	12965
13642112	4792931	2421570	228508
8806000	2401160	1593190	125940
3131363	1627778	435158	49451
1305651	983534	130493	20994
3902192	1338267	765164	67145
1221163	808199	170277	20790
1841923	1423613	217609	29999
83605040	33069945	14866413	2273504
1363808	354097	167617	24052
13291520	6626102	2622441	252727
3158848	1195607	621795	58307
3591200	1383333	743578	108714
57972688	21813257	11961553	1108093
45629560	16732501	9230482	939950
46250296	17702287	10174490	876279
45629560	16732501	8963240	800882
45629560	16732501	9344173	846158
1317824	413564	258362	22143
6600864	4852503	1348046	139471
3860522	3459303	537486	67188
1074096	335397	171826	14700
1856144	688196	341709	27456
4987952	1801671	988742	81317
1115488	375332	200565	17767
1697968	556873	314191	27662
6787936	2764323	1282671	111867
1739056	662735	363242	30117
2456736	845000	449298	44617
2190816	590025	349287	27925
5965572	2431626	1274791	113865
1087480	501831	211398	20480
3349600	1422070	715054	62504
1691440	764109	267426	19345
2469344	924315	498436	40993
1922928	731959	391616	28265
1173168	398763	320243	19970
2012960	843057	325359	35267
1951824	738501	289094	30289
2088736	1268838	372931	39090
2160448	801326	394204	30478
2151296	799256	396046	37021
2367648	887160	445272	38829
11205408	4545846	2255556	207166
1062192	453964	215459	23187
8811632	3423546	1929549	146022
1816512	645934	390786	26631
1656784	601506	311544	31530
1586992	540471	296176	26293
1574000	440560	252322	24597
1409504	447493	243855	20330
1354672	407395	236074	21406
1192272	356550	190972	20136
1268592	436271	263052	22968
1525477	441617	137437	14160
3007456	2038032	562921	62391
7437664	3837903	1366990	118560
1538144	559799	272518	26371
1736624	670602	490786	29732
1174032	436477	264930	33783
1090288	357561	235988	18830
13350096	5010518	2697338	234788
1439312	481785	262011	24834
1568960	530215	286116	27918
21879760	8545364	3429852	359758
39244400	22761419	7876402	820231
23849392	10681406	4482026	396529
1261888	511436	224184	25928
2427856	849052	424375	33330
6811488	2418735	1139370	114211
4362384	2078863	874429	77613
2089168	664117	363535	30336
1106240	425427	195092	15538
20289680	13512641	4060687	407485
9335184	6399329	1810572	195202
2382672	959128	443287	41209
2133744	702009	381567	31137
1784784	682195	336655	35436
2212480	647546	377719	115433
1359808	365863	200771	15875
1789392	753628	364508	33069
1135904	476370	214641	16989
1161744	393541	198862	19467
1403808	457162	218604	23363
3195856	1181669	616124	50512
1832128	686222	314439	30558
1785344	673405	312557	30244
1995424	713681	358669	29501
4177168	1622953	700611	72220
1399040	512246	264648	35907
5757696	1528457	762786	78081
2074176	904793	390617	31788
1473328	503199	232576	24409
1471008	520621	260212	20752
1064704	358076	184137	18844
6312464	2563703	1428002	110438
7028528	2859598	1588277	132105
7622144	657210	503736	67419
1577888	619288	275190	27402
1109872	427773	193104	16631
1066992	415964	178185	20562
3388944	1266929	631482	55569
1099168	431225	201757	20263
1167904	418716	219770	22034
1056784	407945	218172	21507
1595360	569382	277142	31041
1160240	411946	229047	19013
1394912	602422	322025	22730
2698008	591704	483335	31314
1145952	488237	201466	28603
1084064	319363	185576	16914
2111040	679471	393652	32986
4977168	263818	267294	36795
2132776	1830882	272170	36001
3439680	1414890	728110	57051
4458158	995806	543323	62284
5707344	2031473	1193776	91074
1172992	443329	239468	15695
2380960	950498	460164	38202
2554752	1036689	459275	44488
1173232	427608	202864	15512
1453728	480505	256674	21731
2699344	623534	375659	36861
1789456	623853	317042	26443
1365104	507496	271276	20766
6232480	5479500	876555	32065
4174577	4041002	524285	30958
1454496	593958	222336	20458
1078208	462150	199417	20246
1138048	368125	210523	16432
1186784	408217	219234	17671
1102704	406398	170664	13427
2558784	847745	422591	37703
3422864	1441145	623667	60379
8034704	2153838	1293600	113160
1347472	464406	235066	30129
5575472	1915735	1105410	88267
2012848	815505	399526	35715
59360240	24266008	11017922	1101467
13193440	4348909	2171004	190544
1743728	687336	347496	34198
1695808	596387	318050	26103
2457003	790272	234032	29557
2724144	924012	522464	43455
1294928	471403	230384	22517
3426304	1234782	621227	53027
1150704	263641	157674	13060
13207184	10713943	2406596	266140
13251344	10768263	2414001	263831
1327104	490551	262442	18098
3182800	1464485	839610	58425
3783760	1757326	1025425	73398
1428656	501783	276703	21957
1294344	520599	215942	24911
1220829	1186829	156724	14216
1122858	1040235	158114	17599
1219287	1138932	175955	16706
