1764296	608546	115795	85453
2429360	381097	173544	70985
1497984	697506	211233	59326
1059696	264482	69257	29679
1463168	201595	75389	17437
1955920	296249	106901	25073
1093872	170865	39409	22845
3792660	729750	326895	151896
3470104	1271410	191828	91301
1713888	779978	110933	101038
2597760	1250945	267004	68271
1805024	1105976	217380	48495
2433264	809381	165576	85352
1217424	430230	72333	23089
1783584	592809	109419	41344
1309920	549520	112775	30125
9935616	3299550	939211	243593
3350752	1142722	290293	72101
3031660	1726899	322867	88306
2222640	836663	175502	51007
2564612	2563258	42219	378
1152624	581609	108291	38302
1119856	558596	78419	28028
1079696	241807	58687	16434
2332016	914966	191090	65320
1669808	680733	102044	50039
2368272	924559	296083	201244
8812704	2988533	797113	186922
3002656	1128816	244385	62584
1108192	396632	67115	28483
3356352	1022479	178532	68498
3161424	692151	155265	54589
3161968	692143	214021	64209
3176464	695001	128286	56915
3144688	692730	241807	61884
3131680	688861	163013	52855
1832624	456467	197698	40109
2189776	526276	87549	45085
2957344	583246	152356	43052
2729216	595962	152648	59806
3199152	757147	132647	60398
2975296	649254	486052	103978
6679808	1436015	311454	124212
4387264	1088486	348416	104823
1272320	294898	58231	26189
1596608	576852	107692	32011
2486080	973146	274489	53652
6754688	1557568	228998	89815
1820416	776100	163651	43064
10397008	3758624	535668	247313
1843856	835611	216306	44996
9015728	2930293	297810	108399
1492976	362708	99998	28172
6945696	1793955	344015	139828
1755200	651546	135649	39684
6309168	3250627	497717	197070
2259136	707324	149178	55157
47133008	18003347	3523928	1377904
1223360	369639	74244	32603
1560864	575186	101051	46372
1630944	503376	89826	40664
1166992	467740	106250	26490
1813936	793405	120787	43289
1190208	377402	76011	29011
1755216	675357	134751	28974
15370688	5573904	1217387	378837
2186976	641426	154743	42820
4997408	1035445	186078	101995
1592992	617691	98349	65595
1148416	441120	59307	22236
10419600	3020230	772026	221573
2647392	429724	127327	39030
12498752	4309938	1116350	271096
2074032	544350	91524	40454
4299696	655170	112895	77595
15398752	5569988	1214263	371651
2046944	569135	143051	100453
5092080	743720	217294	64483
9375408	2886646	593289	198934
1195440	401737	125339	28431
2111664	791019	103572	33203
28142864	10161496	3071309	933596
2442992	696808	241170	53956
6215808	1305779	252446	95724
1278768	309721	85134	16890
1278192	511792	128736	35986
2005712	362689	52786	20828
2294560	510690	78560	30251
1503392	441433	75092	28890
1619392	650913	106752	66682
1230864	565595	106038	32743
1070608	787811	59600	24815
1443808	518326	100867	41033
4329408	1705351	287715	120808
1094768	412549	54445	29293
1055520	469661	71514	25899
1186240	527983	85850	32735
1869856	486955	73659	34306
1863296	941948	345382	68225
4408912	2084722	681792	118297
1261168	394437	115485	48403
1050496	305260	64962	22554
3047360	1021230	145166	80666
5970752	2298831	408868	174530
5107312	1883021	290273	166512
12712768	4159635	1009243	268079
1254480	583224	106120	32144
2391520	766306	182812	75892
13124432	6775405	1174699	450932
4409120	1944135	855949	140959
1328816	467493	125833	28805
6086304	2537801	532027	177570
3679312	1080068	333378	75111
2922128	1563622	324032	75471
5234432	1697671	383764	160306
1899008	961898	57333	35645
1060336	373589	48406	23997
2974832	997244	164841	61837
8316864	3156826	798200	256158
2030848	714641	176351	45577
6752736	2269644	468221	184335
1446784	495089	100583	35126
1151040	387945	111146	54073
2295280	789855	133919	57851
1296144	453540	70992	34308
1824912	621976	100084	42098
1545024	468667	74679	33814
16264732	6367435	1427219	371965
2450160	994258	164964	57998
2650112	1085609	229283	63894
2986096	717537	125773	78200
2481840	1175990	243495	70638
1189632	269345	49339	11155
2023643	1478871	67513	8232
1808832	684870	129227	73982
1362544	454383	96659	34431
1582128	515065	82904	41682
2928428	862260	60059	6904
28996640	8698071	1683059	706600
2846256	1078591	283744	83032
6077360	2517126	521272	154112
1925840	682928	170250	40253
1380976	449848	79071	33794
2137952	686781	139123	74389
7114560	3552455	203970	66800
1298032	376493	77549	32156
3623600	1389741	264927	88018
1082576	406362	153329	45259
1359696	444880	71201	27497
1124672	369812	72464	31512
4386144	1525590	370029	101780
2621984	882611	185251	88811
1086112	329336	48562	26472
1263584	344317	61044	21807
1725232	559852	148612	73113
1328244	700431	209099	47168
1723696	621483	193204	44999
6033040	1969483	334354	167002
6950816	3414093	564706	278325
1081520	383805	64601	26651
5138432	1976579	405224	132368
1190909	280668	68592	20963
1090240	293414	56571	17780
13642112	4751024	1079755	342505
8806000	2296636	523106	231788
3131363	893543	167241	71468
1305651	947467	44659	3103
3902192	1355022	272012	95117
1221163	803448	72311	10350
1841923	1422139	118101	10287
83605040	31901681	6247026	2202555
1363808	318996	65989	59814
13291520	6173006	1201461	381072
3158848	1184728	353491	78671
3591200	1371512	261708	89968
57972688	20239498	4090514	1325582
45629560	15557901	3129134	1045591
46250296	16516395	3131343	1129939
45629560	15557901	2851609	1091751
45629560	15557901	2839393	1146481
1317824	363985	60508	35644
6600864	5108996	870819	178148
3860522	3323236	148488	15623
1074096	296751	55467	25513
1856144	660899	162663	46583
4987952	1764497	334843	121374
1115488	343380	55331	23349
1697968	547076	106848	38843
6787936	2692535	463174	201239
1739056	624369	159938	39427
2456736	819440	191655	59067
2190816	537192	121039	43822
5965572	2371677	1116981	168650
1087480	514283	77540	28630
3349600	1387759	220688	94310
1691440	414734	52018	30493
2469344	920051	266314	172258
1922928	735267	178065	56176
1173168	260089	64128	25153
2012960	841349	221090	53063
1951824	724726	147625	55592
2088736	1272905	213885	53411
2160448	786774	177754	58379
2151296	784280	185808	78140
2367648	872274	192457	51366
11205408	4392505	1120050	363400
1062192	457384	153006	53168
8811632	3157927	1062513	236825
1816512	593095	126860	46093
1656784	591439	138461	49896
1586992	506348	164019	39093
1574000	422228	95441	85492
1409504	421729	162537	60912
1354672	408823	133966	88402
1192272	313931	71578	24569
1268592	404723	93050	27406
1525477	376158	52901	18588
3007456	2148906	434596	86605
7437664	3871517	835839	209145
1538144	510294	99626	34538
1736624	666498	161336	51220
1174032	422148	93739	35656
1090288	319796	95265	24001
13350096	5078373	1165856	390632
1439312	450480	95057	38384
1568960	522646	109954	46989
21879760	8294107	1731215	829111
39244400	23142559	5670436	1377711
23849392	9753469	2131413	731601
1261888	496484	107174	38850
2427856	835274	201702	61418
6811488	2432247	689741	214153
4362384	2153020	492585	128241
2089168	614962	229918	43561
1106240	398263	74539	22045
20289680	14058773	2553976	622960
9335184	6679683	1348909	252127
2382672	975904	236238	109807
2133744	686455	167204	51302
1784784	648766	119059	49628
2212480	577432	118554	61527
1359808	331885	64006	22185
1789392	724512	171111	47097
1135904	447523	166605	31087
1161744	352660	77340	24919
1403808	404453	112359	29752
3195856	1178653	255549	111735
1832128	598974	169097	44284
1785344	586941	125109	47371
1995424	662346	202954	64380
4177168	1607231	481945	123995
1399040	471519	114239	30237
5757696	1561037	302667	117359
2074176	924510	242334	62700
1473328	460554	86889	29855
1471008	488217	144281	31628
1064704	330993	84867	23286
6312464	2502063	646842	190489
7028528	2793500	560233	210095
7622144	478400	95409	44347
1577888	626955	153809	39158
1109872	434382	99266	30543
1066992	422467	89267	33075
3388944	1254568	272980	95367
1099168	438065	122384	30041
1167904	381397	67501	35558
1056784	383935	87865	30880
1595360	568037	125404	43565
1160240	364246	91256	30698
1394912	582084	176579	35894
2698008	577406	193339	54974
1145952	464573	97629	26286
1084064	309234	72901	25449
2111040	669618	151020	47768
4977168	245614	52684	25632
2132776	1787707	184969	7162
3439680	1415277	303611	102265
4458158	991999	216233	97734
5707344	2002999	460673	152751
1172992	423359	124536	28868
2380960	955760	189647	69575
2554752	1055596	344767	76548
1173232	398271	86354	29338
1453728	448609	91657	27844
2699344	453086	137047	39604
1789456	556397	124594	34967
1365104	417542	99701	32123
6232480	5471620	82833	18185
4174577	4013245	62375	6803
1454496	600799	94841	34846
1078208	438368	89028	39284
1138048	354236	89575	28567
1186784	402526	95930	40775
1102704	352363	81182	23510
2558784	825018	181019	62627
3422864	1441270	440677	92752
8034704	2100386	531293	201682
1347472	463187	136510	85889
5575472	1875347	470315	147253
2012848	799396	288651	77094
59360240	22890238	5213091	1665959
13193440	3881993	795627	302211
1743728	680442	141532	54035
1695808	583951	100901	45712
2457003	722702	82405	34617
2724144	911115	188536	63855
1294928	423338	95234	28262
3426304	1253789	257814	94844
1150704	253797	49698	15925
13207184	10795610	549133	353796
13251344	10847060	536741	348876
1327104	482661	101418	31312
3182800	1548926	297313	104634
3783760	1848210	366169	134683
1428656	496642	93425	33711
1294344	546325	106155	32609
1220829	1180712	9337	1402
1122858	1028549	30745	1452
1219287	1134275	31073	1383
1241273	1151228	30785	1535
1065305	1057284	29808	859
1116970	1020213	33444	1960
1247961	1158755	32964	1659
1231460	1153655	30774	1368
1419095	1366969	11459	1267
1098605	1004545	27831	1381
1513888	989418	33746	2428
3723536	907160	180135	75594
1748560	469577	94001	41641
7891904	6900054	120212	27976
12815888	4238578	872729	311926
1745424	579714	127858	36456
31848928	10894907	2287031	848552
1887952	537082	110703	40001
1980960	579911	121470	40810
2429472	782910	147187	51455
2144704	677053	136687	54854
2065680	634092	154259	46182
1133840	409051	68735	35734
1258704	537942	98240	30372
12596096	4723037	944463	327459
1395024	456580	91123	29567
1455424	384587	83795	25328
1934972	736694	168974	46196
2432928	1016124	225890	68705
1299792	509687	106158	36916
1970544	704184	148858	51922
6752480	2196822	443708	167777
4767120	1765375	337457	140873
2623968	879210	184463	71063
2286288	719430	132576	56246
1180912	369204	73181	27579
1654944	575981	109483	37318
4783568	2162262	352459	119023
2057120	823004	158783	53797
1651072	539002	103665	37691
21963328	8693448	2264857	557158
6811344	2925094	500044	172935
5482768	2507638	473065	146581
34786464	9212906	1938500	658211
1249840	281302	48377	21495
1104352	377831	72198	30184
51857728	8801785	1897844	697729
1716592	424129	75629	23916
1619024	366505	62214	26411
2971968	952103	189256	68858
22192128	7023028	1546487	556906
3041104	1196462	227711	76672
8225884	2309608	499484	204744
1908928	1018000	198705	60862
1077184	594722	102568	39113
1086480	600075	100553	28884
1082256	598063	98601	26694
1085792	600427	111222	35945
1107792	462704	91899	31853
3927824	1346433	252456	103531
2187804	599000	143868	45293
1656064	157438	27016	16959
1145344	405475	89628	30136
117110032	45976425	8722321	2956498
3030608	447963	82512	38135
4957136	490464	106313	39264
4945392	485382	92761	39008
4957168	489990	96139	41333
1946608	729771	128766	57325
1102416	341778	65431	26337
1327488	252313	62271	21847
1398272	385674	102433	34704
13524972	4537745	877255	313902
2749488	795310	151801	55813
4647200	1367357	270301	96982
4716880	1425258	313063	108894
1111472	207839	38890	14463
3326032	1289922	274376	89195
7877136	2638343	513267	194813
2284416	760685	161802	50609
