1764296	610438	191727	175172
2429360	454540	376999	46525
1497984	731336	328523	64278
1059696	294612	189905	13074
1463168	262868	60534	8467
1955920	375148	97191	17525
1093872	212334	61655	7347
3792660	765558	241383	28359
3470104	1277379	215100	37507
1713888	816140	115575	20721
2597760	1288446	180388	32154
1805024	1229051	113986	31337
2433264	816279	146414	23858
1217424	428516	74368	18851
1783584	645862	132711	21506
1309920	545233	89680	21434
9935616	3301718	725037	127283
3350752	1136010	216537	40867
3031660	1647066	232793	39738
2222640	836357	129933	23518
2564612	2559982	194001	44345
1152624	568846	71969	20654
1119856	546531	75379	17761
1079696	289471	58516	10305
2332016	910481	169672	25501
1669808	670361	106693	18726
2368272	930944	150514	24394
8812704	3682820	743312	130930
3002656	1160605	226557	30812
1108192	424611	83703	12561
3356352	1025933	224467	32259
3161424	769250	175976	24546
3161968	768557	176997	29031
3176464	771248	168337	24195
3144688	769629	214442	51520
3131680	765776	174782	28197
1832624	462918	97989	15891
2189776	542737	118274	16984
2957344	656622	142387	24121
2729216	649440	148453	28562
3199152	841332	173333	26234
2975296	707533	150974	28991
6679808	1516569	361703	66175
4387264	1133497	324171	42312
1272320	298993	85855	15378
1596608	579229	128489	16956
2486080	960225	275560	25146
6754688	1832675	646502	54359
1820416	814194	145327	23310
10397008	4074765	580745	198471
1843856	863004	376872	104647
9015728	3286341	1409560	152132
1492976	369055	97280	16411
6945696	1880239	777269	121739
1755200	660792	152414	21922
6309168	3240145	566717	114136
2259136	716797	196651	29617
47133008	17919537	5287269	1121676
1223360	418601	128264	19382
1560864	620439	154421	29598
1630944	560523	159218	29730
1166992	464457	100800	18126
1813936	826953	200669	36264
1190208	372039	112305	18610
1755216	676707	311305	49566
15370688	5550693	2743043	287079
2186976	647468	235629	35300
4997408	1128517	386771	68988
1592992	617527	144200	32687
1148416	442923	110703	22055
10419600	3035477	964431	198533
2647392	442595	234284	46795
12498752	4293886	1294338	208895
2074032	570348	170566	25887
4299696	679330	429778	39048
15398752	5541964	1853227	455410
2046944	600485	432072	59122
5092080	780864	549471	76955
9375408	2927708	1797018	243826
1195440	399839	218752	63020
2111664	797385	608933	77646
28142864	10162875	3902532	638711
2442992	699162	274506	48829
6215808	1422718	621389	211971
1278768	320657	124045	15660
1278192	526737	159151	28079
2005712	385826	246222	50102
2294560	523338	296071	31128
1503392	460826	187576	28822
1619392	682599	201021	35576
1230864	560899	212558	28348
1070608	790104	125680	41257
1443808	526636	194022	34566
4329408	1728412	645087	138740
1094768	465184	249547	29256
1055520	456531	144189	28803
1186240	514705	164677	89265
1869856	509301	188965	26271
1863296	983683	276476	46475
4408912	2097724	625747	404267
1261168	405976	203652	34172
1050496	346020	125593	22323
3047360	1037218	320432	57587
5970752	2272144	897216	123382
5107312	1867790	641879	112199
12712768	4221638	1849667	265736
1254480	606569	154882	34223
2391520	774277	318676	56009
13124432	6544403	1862891	386994
4409120	1958675	645766	88387
1328816	496715	193660	32459
6086304	2521327	808250	179443
3679312	1154202	420097	71842
2922128	1563453	403950	75096
5234432	1722766	775882	120306
1899008	1466432	251354	58959
1060336	389447	101247	17961
2974832	1017451	342314	68023
8316864	3188246	1092210	209596
2030848	724058	226087	71521
6752736	2286627	913539	134754
1446784	500546	241564	34505
1151040	401678	117257	21746
2295280	804946	292304	46531
1296144	487594	227960	23336
1824912	656039	196027	63129
1545024	529651	211666	34282
16264732	6675915	2283887	400754
2450160	982050	422393	41430
2650112	1070068	384990	55291
2986096	735623	483990	52936
2481840	1161189	328544	63762
1189632	573715	128729	34914
2023643	1549704	359979	57839
1808832	691503	309347	41109
1362544	459685	171529	59309
1582128	524558	204441	33331
2928428	890816	304360	43207
28996640	8747814	4919249	683280
2846256	1084608	441759	61147
6077360	2520632	818425	160012
1925840	707247	248865	38516
1380976	466128	152229	23803
2137952	713715	250838	48787
7114560	6167973	1387289	363889
1298032	424548	147071	28360
3623600	1401317	510522	106599
1082576	404553	162052	31426
1359696	498083	261673	30257
1124672	406466	121818	22112
4386144	1541912	592636	135340
2621984	880886	412781	58158
1086112	372557	150837	18134
1263584	391861	126677	23783
1725232	585191	225302	34406
1328244	697348	205881	37084
1723696	625443	203997	35253
6033040	1979569	805244	148128
6950816	3380475	1494250	208117
1081520	406789	136685	27467
5138432	1998583	777775	193427
1190909	282813	149717	15705
1090240	343445	109298	18923
13642112	4765885	1942721	373234
8806000	2321724	1071776	200186
3131363	1175435	452963	61154
1305651	959835	119056	46913
3902192	1358814	476974	83890
1221163	806595	120722	28441
1841923	1427237	262368	74688
83605040	32294277	11366590	2188075
1363808	347644	158148	32899
13291520	6311073	1958928	363552
3158848	1182173	419484	74602
3591200	1365430	406179	85680
57972688	20756847	7466640	1332208
45629560	15949616	6155734	1042512
46250296	16971791	5929728	1016899
45629560	15949616	5482823	992482
45629560	15949616	5471787	971183
1317824	417481	138224	25445
6600864	4980598	952355	238941
3860522	3425569	418748	152783
1074096	335080	123033	42421
1856144	691202	317395	37088
4987952	1792044	640572	116807
1115488	379423	165492	30156
1697968	557417	190308	32663
6787936	2751623	843596	189115
1739056	669357	233671	53683
2456736	842798	339160	89381
2190816	575265	217612	35599
5965572	2406126	1557604	138584
1087480	501085	133292	24307
3349600	1402025	532042	145124
1691440	570280	528223	32212
2469344	932476	450323	61097
1922928	736251	333815	49322
1173168	418353	179258	30610
2012960	857799	299427	50204
1951824	745372	233949	49658
2088736	1281143	317750	62486
2160448	796183	317261	51702
2151296	794327	456300	47312
2367648	880923	393461	65922
11205408	4457351	1965896	333202
1062192	452659	285745	28492
8811632	3364323	1433182	210191
1816512	651839	323294	75330
1656784	607521	245540	30570
1586992	547583	219017	53367
1574000	436415	240726	44380
1409504	456490	197623	32660
1354672	410192	158909	23914
